Accident_No,Surface_Cond_Desc,Atmosph_Cond_Desc,Accident_Type_Desc,Day,Light_Condition_Desc,Speed_Zone,Accident_Date,Accident_Time,Alcohol_Influence,Total_Persons_Inv,Inj_Or_Fatal,Lat,Long,LGA
T20180012730,Wet,Raining,Collision with a fixed object,Saturday,Day,80,2018/07/07,10:30:00,No,2.0,2.0,-37.7056497,142.1003896,SOUTHERN GRAMPIANS
T20180012731,Wet,Not known,Collision with vehicle,Saturday,Day,60,2018/07/07,11:40:00,No,3.0,3.0,-37.90610005,144.2540869,GREATER GEELONG
T20180012748,Wet,Raining,Collision with vehicle,Saturday,Day,70,2018/07/07,16:05:00,Yes,3.0,1.0,-38.35755038,142.4379298,WARRNAMBOOL
T20180012752,Wet,Raining,Collision with a fixed object,Saturday,Day,100,2018/07/07,15:00:00,Yes,1.0,1.0,-38.51190983,146.0745604,SOUTH GIPPSLAND
T20180012758,Wet,Clear,Collision with vehicle,Saturday,Dusk/Dawn,60,2018/07/07,17:00:00,Yes,4.0,1.0,-37.58109657,143.8460704,BALLARAT
T20180012764,Wet,Raining,Collision with vehicle,Saturday,Dark Street lights on,60,2018/07/07,19:15:00,Yes,2.0,1.0,-38.16136747,145.9395422,BAW BAW
T20180012773,Wet,Raining,Collision with vehicle,Saturday,Dark No street lights,80,2018/07/07,18:11:00,Yes,6.0,5.0,-38.1779726,146.6349522,LATROBE
T20180012777,Wet,Raining,Collision with vehicle,Saturday,Dark No street lights,110,2018/07/07,19:02:00,Yes,2.0,1.0,-38.14777969,145.8861207,BAW BAW
T20180012789,Dry,Clear,Vehicle overturned (no collision),Sunday,Day,100,2018/07/08,08:55:00,Yes,1.0,1.0,-36.50609,142.4692088,YARRIAMBIACK
T20180012798,Wet,Raining,Collision with a fixed object,Sunday,Day,50,2018/07/08,09:50:00,Yes,2.0,1.0,-37.19359751,145.7101091,MURRINDINDI
T20180012800,Wet,Raining,Collision with vehicle,Sunday,Day,100,2018/07/08,11:45:00,No,5.0,3.0,-37.45071387,143.839388,BALLARAT
T20180012823,Wet,Strong winds,Struck animal,Sunday,Dark No street lights,100,2018/07/08,18:20:00,No,1.0,1.0,-37.7493424,147.7515069,EAST GIPPSLAND
T20180012826,Dry,Clear,Vehicle overturned (no collision),Sunday,Dusk/Dawn,100,2018/07/08,16:50:00,No,1.0,1.0,-37.83951788,142.7999319,MOYNE
T20180012837,Dry,Clear,Collision with vehicle,Sunday,Dark Street lights on,60,2018/07/08,18:38:00,Yes,3.0,2.0,-38.16065783,144.3545905,GREATER GEELONG
T20180012838,Dry,Clear,Struck animal,Monday,Dusk/Dawn,100,2018/07/09,07:00:00,Yes,2.0,1.0,-37.35917891,145.7116242,MURRINDINDI
T20180012841,Dry,Clear,Collision with a fixed object,Monday,Day,60,2018/07/09,09:25:00,No,1.0,1.0,-38.17123779,144.3475004,GREATER GEELONG
T20180012844,Dry,Clear,Collision with vehicle,Monday,Day,60,2018/07/09,10:43:00,No,5.0,3.0,-38.19647529,146.5412132,LATROBE
T20180012847,Wet,Raining,Collision with vehicle,Sunday,Day,100,2018/07/08,15:40:00,No,6.0,2.0,-38.44628798,145.8552903,SOUTH GIPPSLAND
T20180012853,Dry,Clear,Collision with vehicle,Monday,Day,60,2018/07/09,12:40:00,No,3.0,1.0,-36.91637904,144.69859,GREATER BENDIGO
T20180012857,Wet,Clear,Collision with a fixed object,Monday,Day,50,2018/07/09,13:15:00,No,1.0,1.0,-37.28607717,142.9285375,ARARAT
T20180012859,Dry,Clear,Vehicle overturned (no collision),Monday,Day,100,2018/07/09,10:33:00,No,1.0,1.0,-36.4868518,144.57625,GREATER BENDIGO
T20180012877,Unknown,Not known,Collision with a fixed object,Monday,Unknown,999,2018/07/02,16:15:00,No,1.0,1.0,-38.66529477,146.4308651,SOUTH GIPPSLAND
T20180012879,Dry,Clear,Collision with a fixed object,Monday,Dark No street lights,100,2018/07/09,18:20:00,Yes,1.0,1.0,-37.20376972,142.8838908,ARARAT
T20180012892,Wet,Clear,Collision with a fixed object,Monday,Dark No street lights,60,2018/07/09,23:45:00,Yes,1.0,1.0,-38.1805077,146.5626495,LATROBE
T20180012893,Unknown,Not known,No collision and no object struck,Wednesday,Day,50,2016/04/06,17:00:00,No,2.0,1.0,-37.56691222,143.869111,BALLARAT
T20180012902,Dry,Clear,Collision with vehicle,Thursday,Day,50,2018/07/05,13:40:00,No,1.0,1.0,-37.58226056,143.8408747,BALLARAT
T20180012916,Dry,Clear,Collision with vehicle,Tuesday,Day,40,2018/07/10,12:00:00,No,5.0,2.0,-37.31083939,144.8509399,MACEDON RANGES
T20180012919,Dry,Clear,Struck Pedestrian,Tuesday,Dark No street lights,50,2018/07/10,06:35:00,No,2.0,1.0,-37.55042526,143.8534495,BALLARAT
T20180012920,Dry,Clear,Collision with a fixed object,Tuesday,Day,100,2018/07/10,12:35:00,No,1.0,1.0,-36.65340062,145.735878,STRATHBOGIE
T20180012928,Dry,Clear,Collision with vehicle,Tuesday,Day,60,2018/07/10,16:00:00,No,3.0,1.0,-36.40892718,145.3918233,GREATER SHEPPARTON
T20180012930,Wet,Clear,No collision and no object struck,Sunday,Day,999,2018/07/08,12:30:00,No,1.0,1.0,-37.46719236,145.6398803,MURRINDINDI
T20180012931,Dry,Clear,Collision with vehicle,Tuesday,Dusk/Dawn,50,2018/07/10,16:50:00,No,4.0,1.0,-38.13807558,144.3487997,GREATER GEELONG
T20180012933,Dry,Clear,Collision with vehicle,Thursday,Day,50,2018/06/21,13:00:00,No,2.0,1.0,-37.56788022,143.8375318,BALLARAT
T20180012935,Dry,Clear,Collision with vehicle,Tuesday,Day,100,2018/07/10,14:50:00,No,2.0,2.0,-37.70548409,144.4578785,MOORABOOL
T20180012943,Dry,Clear,Struck Pedestrian,Tuesday,Dark No street lights,50,2018/07/10,19:30:00,Yes,3.0,1.0,-38.09902734,144.3387305,GREATER GEELONG
T20180012945,Wet,Raining,Collision with a fixed object,Tuesday,Dark No street lights,100,2018/07/10,18:25:00,Yes,3.0,3.0,-38.65554961,146.3268251,SOUTH GIPPSLAND
T20180012961,Dry,Clear,Collision with a fixed object,Tuesday,Dark No street lights,999,2018/07/10,20:25:00,Yes,5.0,5.0,-37.41302633,143.3261925,PYRENEES
T20180012962,Dry,Clear,Collision with vehicle,Tuesday,Dusk/Dawn,60,2018/07/10,17:10:00,No,3.0,1.0,-38.43705734,145.827461,SOUTH GIPPSLAND
T20180012978,Dry,Clear,Collision with a fixed object,Tuesday,Day,100,2018/07/10,14:45:00,No,1.0,1.0,-36.83233567,144.390834,GREATER BENDIGO
T20180012984,Unknown,Not known,Struck animal,Sunday,Day,50,2018/07/08,12:30:00,No,1.0,1.0,-36.45227099,142.0320677,HINDMARSH
T20180012991,Dry,Clear,Struck Pedestrian,Wednesday,Day,50,2018/07/11,14:45:00,No,2.0,1.0,-36.01138,146.0059375,MOIRA
T20180012992,Dry,Clear,Collision with a fixed object,Wednesday,Day,100,2018/07/11,11:00:00,No,1.0,1.0,-38.4943893,142.9294501,CORANGAMITE
T20180012993,Wet,Clear,Collision with a fixed object,Wednesday,Day,60,2018/07/11,14:27:00,No,1.0,1.0,-34.30103219,142.1948022,MILDURA
T20180013000,Wet,Raining,Collision with a fixed object,Wednesday,Dark Street lights on,50,2018/07/11,18:05:00,Yes,1.0,1.0,-37.65811966,144.4328907,MOORABOOL
T20180013012,Wet,Clear,Collision with a fixed object,Wednesday,Dark Street lights on,50,2018/07/11,20:05:00,Yes,4.0,4.0,-37.74452598,142.0264167,SOUTHERN GRAMPIANS
T20180013015,Wet,Clear,Collision with a fixed object,Wednesday,Dark Street lights on,60,2018/07/11,23:10:00,Yes,1.0,1.0,-35.34067844,143.5495694,SWAN HILL
T20180013022,Wet,Fog,Collision with a fixed object,Wednesday,Dark Street lights on,50,2018/07/11,04:43:00,Yes,2.0,2.0,-36.40170075,145.4141154,GREATER SHEPPARTON
T20180013026,Wet,Raining,Vehicle overturned (no collision),Wednesday,Dark No street lights,110,2018/07/11,22:55:00,Yes,2.0,2.0,-37.07753966,145.1028549,MITCHELL
T20180013029,Wet,Raining,No collision and no object struck,Sunday,Day,60,2018/07/08,13:00:00,No,1.0,1.0,-38.09394998,146.9725794,WELLINGTON
T20180013032,Unknown,Not known,Struck animal,Wednesday,Unknown,100,2018/07/11,18:30:00,Yes,1.0,1.0,-38.14722165,147.3952526,WELLINGTON
T20180013038,Icy,Not known,Collision with vehicle,Thursday,Dusk/Dawn,100,2018/07/12,06:00:00,Yes,2.0,1.0,-37.24200021,144.1222797,HEPBURN
T20180013041,Wet,Clear,Collision with a fixed object,Thursday,Day,100,2018/07/12,10:45:00,No,2.0,2.0,-38.17979953,144.6440062,GREATER GEELONG
T20180013045,Dry,Clear,Collision with vehicle,Tuesday,Dark No street lights,100,2018/07/10,17:20:00,No,2.0,1.0,-38.09409692,146.8068144,WELLINGTON
T20180013046,Wet,Clear,Collision with vehicle,Thursday,Day,60,2018/07/12,10:20:00,No,2.0,1.0,-38.09587933,144.3611425,GREATER GEELONG
T20180013050,Dry,Clear,Other accident,Thursday,Day,100,2018/07/12,08:55:00,No,2.0,2.0,-37.29497694,142.9673618,ARARAT
